absolute_course_url,subject_name,course_name
https://www.class-central.com/course/coursera-internet-of-things-setting-up-your-dragonboard-development-platform-4260,Learn Computer Science,Internet of Things: Setting Up Your DragonBoard™ Development Platform
https://www.class-central.com/course/coursera-----4474,Learn Computer Science,Введение в машинное обучение
https://www.class-central.com/course/coursera-running-product-design-sprints-5592,Learn Computer Science,Running Product Design Sprints
https://www.class-central.com/course/coursera-a-developer-s-guide-to-the-internet-of-things-iot-6040,Learn Computer Science,A developer's guide to the Internet of Things (IoT)
https://www.class-central.com/course/coursera-programming-languages-part-b-6920,Learn Computer Science,"Programming Languages, Part B"
https://www.class-central.com/course/coursera-cybersecurity-policy-for-water-and-electricity-infrastructures-8818,Learn Computer Science,Cybersecurity Policy for Water and Electricity Infrastructures
https://www.class-central.com/course/coursera-homeland-security-cybersecurity-connection-it-s-not-about-the-terrorists-8820,Learn Computer Science,Homeland Security & Cybersecurity Connection - It's Not About the Terrorists
https://www.class-central.com/course/coursera-g-suite-administrator-fundamentals-8837,Learn Computer Science,G Suite Administrator Fundamentals
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-8762,Learn Computer Science,Elastic Cloud Infrastructure: Containers and Services
https://www.class-central.com/course/coursera-deep-learning-for-business-9431,Learn Computer Science,Deep Learning for Business
https://www.class-central.com/course/coursera-programming-languages-part-c-7187,Learn Computer Science,"Programming Languages, Part C"
https://www.class-central.com/course/coursera-system-validation-4-modelling-software-protocols-and-other-behaviour-7803,Learn Computer Science,"System Validation (4): Modelling Software, Protocols, and other behaviour"
https://www.class-central.com/course/coursera-cyber-physical-systems-modeling-and-simulation-9791,Learn Computer Science,Cyber-Physical Systems: Modeling and Simulation
https://www.class-central.com/course/coursera-the-bits-and-bytes-of-computer-networking-10222,Learn Computer Science,The Bits and Bytes of Computer Networking
https://www.class-central.com/course/coursera-practical-reinforcement-learning-9924,Learn Computer Science,Practical Reinforcement Learning
https://www.class-central.com/course/coursera-security-operations-and-administration-10335,Learn Computer Science,Security Operations and Administration
https://www.class-central.com/course/coursera-internet-of-things-v2-setting-up-and-using-cloud-services-10378,Learn Computer Science,Internet of Things V2: Setting up and Using Cloud Services
https://www.class-central.com/course/coursera-on-premises-installation-and-fundamentals-with-google-cloud-s-apigee-api-platform-10746,Learn Computer Science,On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform
https://www.class-central.com/course/coursera-interacting-with-the-system-and-managing-memory-10760,Learn Computer Science,Interacting with the System and Managing Memory
https://www.class-central.com/course/coursera-advanced-machine-learning-and-signal-processing-11597,Learn Computer Science,Advanced Machine Learning and Signal Processing
https://www.class-central.com/course/coursera-fintech-foundations-and-overview-11193,Learn Computer Science,FinTech Foundations and Overview
https://www.class-central.com/course/coursera-embedded-software-and-hardware-architecture-11821,Learn Computer Science,Embedded Software and Hardware Architecture
https://www.class-central.com/course/edx-microsoft-service-adoption-specialist-11972,Learn Computer Science,Microsoft Service Adoption Specialist
https://www.class-central.com/course/coursera-managing-security-in-google-cloud-platform-12632,Learn Computer Science,Managing Security in Google Cloud Platform
https://www.class-central.com/course/gacco-ga122---12246,Learn Computer Science,ga122: クラウドサービス・分散システム
https://www.class-central.com/course/coursera-agile-planning-for-software-products-4235,Learn Computer Science,Agile Planning for Software Products
https://www.class-central.com/course/coursera-programming-for-the-internet-of-things-project-5118,Learn Computer Science,Programming for the Internet of Things Project
https://www.class-central.com/course/coursera-solving-algorithms-for-discrete-optimization-11219,Learn Computer Science,Solving Algorithms for Discrete Optimization
https://www.class-central.com/course/coursera-deteccion-de-objetos-3194,Learn Computer Science,Detección de objetos
https://www.class-central.com/course/coursera-approximation-algorithms-part-ii-5688,Learn Computer Science,Approximation Algorithms Part II
https://www.class-central.com/course/coursera-la-disrupcion-del-blockchain-10495,Learn Computer Science,La Disrupción del Blockchain
https://www.class-central.com/course/coursera-introduction-and-programming-with-iot-boards-12535,Learn Computer Science,Introduction and Programming with IoT Boards
https://www.class-central.com/course/coursera-client-needs-and-software-requirements-4302,Learn Computer Science,Client Needs and Software Requirements 
https://www.class-central.com/course/coursera-approximation-algorithms-part-i-5026,Learn Computer Science,Approximation Algorithms Part I
https://www.class-central.com/course/coursera-probabilistic-graphical-models-3-learning-7293,Learn Computer Science,Probabilistic Graphical Models 3: Learning
https://www.class-central.com/course/coursera-hi-five-health-informatics-for-innovation-value-enrichment-administrative-it-perspective-8099,Learn Computer Science,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)"
